id,country,name_en,name_local,entity_type,tier,focus_areas,seed_source,suggested_local_queries,status,last_verified,notes
cn-cac,China,Cyberspace Administration of China,国家互联网信息办公室 / 网信办,government,1,ai_governance;content_safety;regulation,Chinese official sources; Concordia 2025,人工智能 生成式人工智能 网信办 备案 安全评估,seed,2026-05-26,Seed row; verify before publishing.
cn-miit,China,Ministry of Industry and Information Technology,工业和信息化部 / 工信部,government,1,standards;industry;ai_governance,Chinese official sources; Concordia 2025,人工智能 安全治理 标准体系 工信部,seed,2026-05-26,Seed row; verify before publishing.
cn-most,China,Ministry of Science and Technology,科学技术部 / 科技部,government,1,ethics;international_dialogue;science_policy,Chinese official sources; Concordia 2025,科技伦理 人工智能 治理 科技部,seed,2026-05-26,Seed row; verify before publishing.
cn-mfa,China,Ministry of Foreign Affairs,外交部,government,1,international_dialogue;capacity_building,Chinese official sources; Concordia 2025,人工智能 国际治理 外交部 全球治理倡议,seed,2026-05-26,Seed row; verify before publishing.
cn-sac,China,Standardization Administration of China,中国标准化管理委员会,standards_body,1,standards,Standards platform; Concordia 2025,人工智能 国家标准 标准化管理委员会,seed,2026-05-26,Seed row; verify before publishing.
cn-tc260,China,National Technical Committee 260 on Cybersecurity,全国网络安全标准化技术委员会,standards_body,1,standards;model_security;frontier_ai_safety,TC260 docs; Concordia 2025,人工智能安全治理框架 TC260 大模型 安全 标准,seed,2026-05-26,Seed row; verify before publishing.
cn-tc28-sc42,China,SAC/TC28/SC42 AI Subcommittee,全国信息技术标准化技术委员会人工智能分技术委员会,standards_body,1,standards;ai_governance,SAC/SC42; Concordia 2025,人工智能 分技术委员会 标准,seed,2026-05-26,Seed row; verify before publishing.
cn-miit-tc1,China,MIIT AI Standardization Technical Committee,工业和信息化部人工智能标准化技术委员会,standards_body,1,standards;model_security;agents,MIIT/TC1 plans; Concordia 2025,工信部 人工智能 标准化技术委员会 安全治理,seed,2026-05-26,Seed row; verify before publishing.
cn-caict,China,China Academy of Information and Communications Technology,中国信息通信研究院,evaluation_institution,1,evaluation;standards;industry,CAICT; Concordia 2025,中国信通院 大模型 安全评估 可信AI,seed,2026-05-26,Seed row; verify before publishing.
cn-cesi,China,China Electronics Standardization Institute,中国电子技术标准化研究院,evaluation_institution,1,standards;evaluation,CESI; Concordia 2025,中国电子技术标准化研究院 人工智能 安全,seed,2026-05-26,Seed row; verify before publishing.
cn-cstc,China,China Software Testing Center,中国软件评测中心,evaluation_institution,1,evaluation;agents;model_security,CSTC; Concordia 2025,中国软件评测中心 大模型 智能体 安全 测评,seed,2026-05-26,Seed row; verify before publishing.
cn-shlab,China,Shanghai AI Laboratory,上海人工智能实验室,evaluation_institution,1,evaluation;technical_alignment;research,SHLAB; Concordia 2025,上海人工智能实验室 OpenCompass 大模型 安全,seed,2026-05-26,Seed row; verify before publishing.
cn-baai,China,Beijing Academy of Artificial Intelligence,北京智源人工智能研究院,research_group,1,evaluation;technical_alignment;frontier_ai_safety,BAAI; Concordia 2025,智源 人工智能 安全 评测 对齐,seed,2026-05-26,Seed row; verify before publishing.
cn-cnaisd,China,China AI Safety & Development Association,中国人工智能发展与安全研究网络,dialogue_convenor,1,international_dialogue;frontier_ai_safety;evaluation,CnAISDA; Concordia 2025,中国人工智能发展与安全研究网络 国际合作 AI安全,seed,2026-05-26,Seed row; verify before publishing.
cn-beijing-iasg,China,Beijing Institute for AI Safety and Governance,北京人工智能安全与治理研究院,ai_safety_institute,1,frontier_ai_safety;technical_alignment;governance,Institute site; Concordia 2025,北京 人工智能安全与治理研究院 曾毅 超级对齐,seed,2026-05-26,Seed row; verify before publishing.
cn-shanghai-aisg-lab,China,Shanghai AI Safety and Governance Laboratory,上海人工智能安全治理实验室,ai_safety_institute,1,governance;evaluation;content_safety,Shanghai sources; Concordia 2025,上海人工智能安全治理实验室 标识符 水印,seed,2026-05-26,Seed row; verify before publishing.
cn-tsinghua-aiig,China,Tsinghua Institute for AI International Governance,清华大学人工智能国际治理研究院,think_tank,1,international_dialogue;ai_governance,I-AIIG; Concordia 2025,清华 人工智能国际治理研究院 薛澜,seed,2026-05-26,Seed row; verify before publishing.
cn-tsinghua-ciss,China,Tsinghua Center for International Security and Strategy,清华大学国际安全与战略研究中心,think_tank,1,international_dialogue;security,CISS; Concordia 2025,清华 国际安全与战略研究中心 人工智能 国际安全,seed,2026-05-26,Seed row; verify before publishing.
